tempo_s,T_real_C,T_termopar_C,Tensao_termopar_mV,R_Pt100_Ohm,R_NTC_Ohm
0,80.0,0.0,-0.0006748914821904104,130.8968,1270.3202348436205
1,80.1399583118747,6.678329859322891,0.23977459972725285,130.95020556100226,1264.703852425931
2,80.2796666199605,12.811774589376025,0.434637148298962,131.0035134686858,1259.1266742312862
3,80.41887554494849,18.445699669007062,0.8955511759206327,131.05662858657118,1253.598249538529
4,80.55733695492891,23.621669442833884,1.1595494888702915,131.10945627006754,1248.1278779731254
5,80.69480458519237,28.377764038030424,1.181169702817617,131.16190260265404,1242.7245916880831
6,80.83103465336414,32.74886992264157,1.6382096830393567,131.21387463015338,1237.3971391914176
7,80.96578646833387,36.76694630144926,1.2791069755327187,131.26528059251424,1232.1539707836923
8,81.09882303145874,40.46126936228338,1.620180151997675,131.31603015252819,1227.003225558812
9,81.22991162853738,43.85865621780455,1.6548404408094257,131.36603462091261,1221.9527199121324
10,81.35882441107508,46.98367023391043,1.5530231561757157,131.41520717720383,1217.0099374920521
11,81.48533896538692,49.8588092948668,2.027675043920999,131.4634630859131,1212.1820205244676
12,81.60923886811715,52.504678425970994,2.128342313788154,131.51071990741266,1207.4757624338858
13,81.73031422678561,54.94014807603888,2.5552360197660207,131.55689770303118,1202.8976016806462
14,81.84836220401039,57.18249925336984,2.470644806299119,131.60191923385446,1198.4536167303324
15,81.96318752409658,59.24755660926374,2.224312456113972,131.64571015274154,1194.1495220692436
16,82.07460296072465,61.14981047188548,2.8779607426141425,131.6881991890855,1189.9906651786737
17,82.18242980451961,62.90252874960499,2.8232104178388755,131.72931832586522,1185.9820243804027
18,82.28649830933234,64.51785954624894,2.76165178208993,131.76900296855467,1182.1282074666647
19,82.3866481161175,66.00692526040466,2.6609871159066243,131.80719210547625,1178.4334510291797
20,82.48272865334847,67.37990887648331,2.57068841659112,131.8438284592058,1174.9016204043912
21,82.57459951296899,68.64613309619045,2.740050101729598,131.87885862866068,1171.536210154855
22,82.66213080094097,69.81413290491966,3.0801291730425433,131.9122332215229,1168.3403450105425
23,82.74520346151314,70.89172211796912,3.283477868023656,131.94390697667572,1165.316781198022
24,82.82370957439944,71.88605440600499,3.2559769363006423,131.97383887635493,1162.4679080902097
25,82.89755262412474,72.80367925751497,2.887180965200859,132.00199224774244,1159.7957501146343
26,82.9666477408643,73.65059329779409,2.7957508385517555,132.02833485375464,1157.3019688636848
27,83.03092191217551,74.43228734899255,3.0799010306909356,132.05283897280597,1154.9878653562987
28,83.09031416509202,75.1537895836675,2.7276174998177973,132.0754814673528,1152.854382406648
29,83.14477571812587,75.81970509487236,3.1732414517267236,132.09624384105283,1150.9021070618012
30,83.19427010279699,76.43425217886607,3.1042838220737754,132.11511228440028,1149.1312730769312
31,83.23877325438689,77.00129560182614,3.0638458193012235,132.13207770872734,1147.5417634032553
32,83.2782735716892,77.52437709931473,2.859558847618545,132.14713576848885,1146.1331126706516
33,83.31277194560829,78.00674333650586,3.300996498110684,132.16028687177726,1144.9045096536204
34,83.34228175653385,78.45137153817487,3.1099660651327876,132.17153617904188,1143.8547997161086
35,83.36682884049853,78.86099298003518,2.999317345039385,132.18089359001635,1142.9824872371912
36,83.38645142420286,79.23811451704915,2.6743102525426856,132.18837371888648,1142.2857380264152
37,83.40120002907015,79.58503830971758,3.2574835896882934,132.1939958577583,1141.7623817438043
38,83.41113734457095,79.90387989595536,3.6305093950681186,132.1977839285163,1141.4099143459769
39,83.41633807113377,80.19658474388689,3.6203118174089366,132.19976642318804,1141.225500585691
40,83.41688873303481,80.46494340964921,3.2076434284783635,132.1999763329613,1141.2059765979916
41,83.41288746173424,80.71060541398963,3.188692409901219,132.19845106602543,1141.3478526115584
42,83.40444375020057,80.9350919420072,3.4120936208373003,132.19523235443793,1141.6473158289473
43,83.39167817883731,81.13980746174305,3.127055018093807,132.19036615024234,1142.100233524173
44,83.37472211369689,81.32605034940586,3.3947264442895335,132.18390251109096,1142.7021564103343
45,83.35371737773607,81.4950226017667,3.494511982349373,132.1758954756509,1143.4483223338516
46,83.32881589593464,81.64783870961404,3.592948031871037,132.16640292909793,1144.3336603551215
47,83.30017931516443,81.78553376007656,3.333176068867149,132.15548645902578,1145.3527952781278
48,83.26797859975864,81.90907083005007,3.3175371539966596,132.14321120212347,1146.500052693718
49,83.23239360379256,82.01934772786194,3.1871967394910277,132.12964568199553,1147.7694646026198
50,83.19361262114448,82.11720313563549,3.2014292577530834,132.11486163852163,1149.154775685106
51,83.15183191446175,82.20342220053769,3.32504453184174,132.09893384917436,1150.649450284144
52,83.10725522420898,82.27874161917697,3.4469015077494913,132.08193994273302,1152.2466801681571
53,83.0600932590258,82.34385425583103,3.5588149497357224,132.0639602058506,1153.9393931378816
54,83.0105631686678,82.39941333190076,3.217740156471862,132.04507738295024,1155.720262539338
55,82.95888800084816,82.4460362209797,3.6788251988520724,132.02537646994253,1157.581717741635
56,82.90529614333752,82.48430788117619,3.3276319029197103,132.0049445022731,1159.5159556340518
57,82.85002075271662,82.51478395380457,3.3788326832363005,131.98387033782285,1161.5149531916716
58,82.79329917120943,82.53799355525497,3.234615399935889,131.9622444351968,1163.5704811528178
59,82.73537233305449,82.55444178673827,2.8998840612016803,131.94015862795126,1165.6741188444946
60,82.67648416189812,82.56461198466826,3.5619581706436088,131.91770589531737,1167.8172701841663
61,82.61688096071583,82.56896773267222,3.532696456458048,131.89498012999022,1169.9911808774375
62,82.55681079578665,82.56795465459842,3.3290206294148925,131.87207590356073,1172.1869568216339
63,82.49652287626029,82.56200200640357,3.3984402257075215,131.84908823017344,1174.3955837148749
64,82.43626693086782,82.55152408344226,3.487800330961953,131.82611232899862,1176.6079478591678
